"","instance_id","artist_name","track_name","popularity","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","obtained_date","valence","music_genre"
"27",81428,"Fatboy Slim","Sunset (Bird Of Prey) - The Aston Shuffle Remix Edit",21,0.00362,0.713,214000,0.824,0.492,"B",0.311,-7.475,"Minor",0.0409,"120.00200000000001","4-Apr",0.454,"Electronic"
"42",83854,"UNKLE","Lonely Soul",51,0.0776,0.475,533013,0.591,0.0549,"A",0.109,-7.854,"Minor",0.0374,"?","4-Apr",0.123,"Electronic"
"44",82465,"!!!","Our Love (U Can Get)",43,0.169,0.685,-1,0.909,0.000663,"C",0.942,-7.627,"Major",0.043,"119.978","4-Apr",0.962,"Electronic"
"48",89698,"Thievery Corporation","Bario Alto",30,0.0579999999999999,0.815,233893,0.509,0.877,"A",0.0954,-12.991,"Minor",0.0486,"113.475","4-Apr",0.771,"Electronic"
"78",73313,"Tiga","Bugatti (feat. Pusha T) - Jauz Remix",36,0.122,0.878,330000,0.921,0.0218,"A",0.258,-5.162,"Major",0.132,"127.99600000000001","4-Apr",0.487,"Electronic"
"79",87096,"QUIX","Hero (feat. David Shane)",50,0.0049,0.766,232275,0.839,0.0108,"C#",0.114,-5.123,"Major",0.0409999999999999,"124.992","4-Apr",0.113,"Electronic"
"81",90969,"Apashe","Do It feat. Black Prez",51,0.00988,0.702,219200,0.807,0.00971,"B",0.111,-2.688,"Major",0.206,"75.063","4-Apr",0.363,"Electronic"
"82",89024,"Claes Rosen","Starlight - Blood Groove & Kikis Remix",29,0.000266,0.866,406605,0.697,0.0401,"C",0.0528,-7.201,"Major",0.067,"124.014","4-Apr",0.776,"Electronic"
"86",51545,"Flux Pavilion","Feels Good",26,0.00413,0.482,228857,0.758,0.0904,"E",0.2,-3.333,"Minor",0.057,"125.005","4-Apr",0.253,"Electronic"
"103",29447,"BROHUG","Knuckles",34,0.00591,0.644,186240,0.927,0.448,"E",0.363,-4.651,"Major",0.0508,"125.001","4-Apr",0.316,"Electronic"
"111",25145,"A-Trak","Ride For Me (with Young Thug, feat. 24hrs)",42,0.0797,0.83,241173,0.768,0,"E",0.139,-3.552,"Minor",0.229,"?","4-Apr",0.573,"Electronic"
"116",87440,"Air","Don't Be Light",35,0.0688,0.517,378840,0.696,0.789,"E",0.122,-7.794,"Major",0.0521,"168.422","4-Apr",0.343,"Electronic"
"120",40462,"Destructo","All Nite (feat. E-40 & Too $hort)",27,0.00885,0.897,204016,0.762,0.016,"E",0.0824,-4.48,"Minor",0.0625,"126.035","3-Apr",0.43,"Electronic"
"129",61549,"empty_field","Down With Me - VIP",32,0.0139,0.498,-1,0.945,0.647,"F",0.338,-0.003,"Minor",0.137,"149.888","4-Apr",0.179,"Electronic"
"138",58829,"DAVI","Two Suns In The Sky - Original Mix",39,0.0134,0.808,445723,0.451,0.776,"C",0.106,-12.013,"Major",0.0714,"120.961","4-Apr",0.353,"Electronic"
"146",45853,"Riot Ten","Missing You (feat. blvkkhvrt.)",36,0.055,0.651,240009,0.418,8.56e-05,"C",0.103,-9.306,"Major",0.0352,"139.997","4-Apr",0.104,"Electronic"
"162",32688,"Adventure Club","Unleash (Life In Color Anthem 2014) [feat. Zak Waters]",26,0.0044399999999999,0.701,331000,0.607,4.09e-05,"C#",0.0433,-4.514,"Minor",0.0547,"127.979","4-Apr",0.342,"Electronic"
"170",81568,"Kasabian","Fire",66,0.0874,0.525,252280,0.741,0.147,"A#",0.117,-5.643,"Major",0.0311,"117.031","4-Apr",0.179,"Electronic"
"181",29686,"Daft Punk","Harder Better Faster Stronger",70,0.0427,0.817,224693,0.716,0.00263,"F#",0.358,-8.898,"Minor",0.144,"123.475","4-Apr",0.692,"Electronic"
"182",38692,"Paul Oakenfold","Cafe Del Mar - Radio Edit",39,0.00442,0.509,270965,0.904,0.843,"C",0.653,-7.045,"Major",0.0405,"132.009","4-Apr",0.153,"Electronic"
"200",69676,"!!!","Californiyeah",36,0.0249,0.865,274013,0.65,0.000391,"A",0.102,-8.025,"Minor",0.101,"120.03","4-Apr",0.557,"Electronic"
"215",52459,"empty_field","Young & Dangerous",44,0.00584,0.667,265600,0.969,0.112,"G",0.676,-0.714,"Minor",0.106,"?","4-Apr",0.278,"Electronic"
"217",51425,"David August","You Got to Love Me",47,0.137,0.766,359166,0.396,0.0436,"G",0.052,-12.673,"Minor",0.0406,"113.005","4-Apr",0.187,"Electronic"
"224",49775,"Cut Copy","Strangers In The Wind",45,0.0733,0.565,283773,0.779,2.92e-05,"E",0.263,-3.891,"Minor",0.0412,"119.949","4-Apr",0.541,"Electronic"
"227",59760,"Kaivon","Your Eye",56,0.0616,0.387,240713,0.758,2.26e-05,"C#",0.118,-2.794,"Major",0.0578,"127.947","4-Apr",0.132,"Electronic"
"238",63266,"Be Svendsen","Drop the Gun - Radio Edit",42,0.0136,0.878,208745,0.557,0.235,"A#",0.0766,-10.992,"Minor",0.0566,"115.064","4-Apr",0.66,"Electronic"
"252",84194,"LCD Soundsystem","black screen",39,0.321,0.584,-1,0.433,0.923,"G",0.0912,-14.59,"Major",0.0253,"100.01","4-Apr",0.0721,"Electronic"
"265",20234,"DJ Snake","Let's Get Ill",65,0.009,0.704,-1,0.989,0.0443,"G#",0.0814,-5.079,"Major",0.073,"127.992","4-Apr",0.123,"Electronic"
"267",26893,"Little Dragon","Brush The Heat",38,0.00936,0.726,250000,0.703,0.114,"A",0.113,-6.965,"Minor",0.0499,"120.954","4-Apr",0.434,"Electronic"
"278",44917,"QUIX","All I Have (feat. Aviella)",53,0.123,0.756,-1,0.843,0.0339,"C",0.129,-4.726,"Major",0.0605,"144.062","4-Apr",0.21,"Electronic"
"281",41912,"Flosstradamus","From The Back",34,0.0466,0.537,186203,0.797,0,"B",0.865,-5.328,"Major",0.321,"84.444","4-Apr",0.384,"Electronic"
"283",30033,"AC Slater","Bass Inside",54,0.00112,0.905,264000,0.838,0.839,"F#",0.608,-6.838,"Major",0.0499,"126.007","4-Apr",0.464,"Electronic"
"306",35999,"Türküm","Someone",33,0.103,0.581,151475,0.915,1.08e-05,"F",0.0923,-4.828,"Minor",0.0712,"122.089","4-Apr",0.306,"Electronic"
"318",33756,"Nitti Gritti","Drive",33,0.261,0.811,172143,0.759,4.96e-05,"D",0.191,-2.86,"Major",0.226,"125.919","4-Apr",0.2,"Electronic"
"333",67289,"Ulrich Schnauss","On My Own",32,0.129,0.391,403493,0.647,0.923,"B",0.358,-10.586,"Major",0.0389,"139.842","4-Apr",0.241,"Electronic"
"348",56535,"Gammer","Beam of Light",35,0.00419,0.524,207529,0.789,0.0033299999999999,"G",0.198,-4.452,"Minor",0.158,"169.995","4-Apr",0.153,"Electronic"
"367",24930,"Flux Pavilion","Pull the Trigger - Mati Remix",33,0.0421,0.329,223652,0.662,0,"A#",0.0321,-7.645,"Minor",0.119,"159.21200000000002","4-Apr",0.258,"Electronic"
