,acousticness,artist_name,danceability,duration_s,energy,instrumentalness,key,liveness,loudness,mode,music_genre,obtained_date,popularity,speechiness,tempo,MvOut,track_name,valence
0,0.00362,Fatboy Slim,0.713,214.0,0.824,0.492,B,0.311,-7.475,Minor,Electronic,4-Apr,21.0,0.0409,120.00200000000001,MvOut.No,Sunset (Bird Of Prey) - The Aston Shuffle Remix Edit,0.454
1,0.0776,UNKLE,0.475,533.013,0.591,0.0549,A,0.109,-7.854,Minor,Electronic,4-Apr,51.0,0.0374,122.04379689714429,MvOut.No,Lonely Soul,0.123
2,0.169,!!!,0.685,225.25648657949947,0.909,0.000663,C,0.20531813733099277,-7.627,Major,Electronic,4-Apr,43.0,0.043,119.978,MvOut.No,Our Love (U Can Get),0.962
3,0.0579999999999999,Thievery Corporation,0.815,233.893,0.509,0.11589318586617861,A,0.0954,-12.991,Minor,Electronic,4-Apr,30.0,0.0486,113.475,MvOut.No,Bario Alto,0.771
4,0.122,Tiga,0.878,330.0,0.921,0.0218,A,0.258,-5.162,Major,Electronic,4-Apr,36.0,0.132,127.99600000000001,MvOut.No,Bugatti (feat. Pusha T) - Jauz Remix,0.487
5,0.0049,QUIX,0.766,232.275,0.839,0.0108,C#,0.114,-5.123,Major,Electronic,4-Apr,50.0,0.0409999999999999,124.992,MvOut.No,Hero (feat. David Shane),0.113
6,0.00988,Apashe,0.702,219.2,0.807,0.00971,B,0.111,-2.688,Major,Electronic,4-Apr,51.0,0.206,75.063,MvOut.No,Do It feat. Black Prez,0.363
7,0.000266,Claes Rosen,0.866,406.605,0.697,0.0401,C,0.0528,-7.201,Major,Electronic,4-Apr,29.0,0.067,124.014,MvOut.No,Starlight - Blood Groove & Kikis Remix,0.776
8,0.00413,Flux Pavilion,0.482,228.857,0.758,0.0904,E,0.2,-3.333,Minor,Electronic,4-Apr,26.0,0.057,125.005,MvOut.No,Feels Good,0.253
9,0.00591,BROHUG,0.644,186.24,0.927,0.448,E,0.363,-4.651,Major,Electronic,4-Apr,34.0,0.0508,125.001,MvOut.No,Knuckles,0.316
